"","lon","lat"
"1",-76.16636,43.05239
"2",-76.111911,43.029173
"3",-76.119914,43.0438509
"4",-76.123338,43.069618
"5",-76.1217467,43.1577256
"6",-76.141498,43.097763
"7",-76.1304941,43.0438737
"8",-76.142747,43.0004441
"9",-76.2223388,43.1340345
"10",-76.1964717,43.0532049
"11",-76.1512306,43.0703227
"12",-76.164246,43.04337
"13",-76.1607902,43.0680746
"14",-76.153186,43.00206
"15",-76.157441,43.010605
"16",-76.1414792,43.0630115
"17",-76.1717149,43.1858275
"18",NA,NA
"19",-76.1711738,43.0717962
"20",-76.148296,43.0524446
"21",-76.100209,43.193977
"22",-76.1723437,43.0408247
"23",-76.1641549,43.040609
"24",-76.1468372,43.0231059
"25",-76.123305,43.034124
"26",-76.1622944,43.026504
"27",-76.1217467,43.1577256
"28",-76.070734,43.0476697
"29",-76.243839,43.188699
"30",-76.1457564,43.1020325
"31",-76.1440502,43.0643255
"32",-76.167587,43.042372
"33",-76.1386097,43.0572146
"34",-76.1481206,43.0490165
"35",-76.1801928,43.0508142
"36",-76.153128,43.029497
"37",-76.1817636,43.0326098
"38",-76.157441,43.010605
"39",-76.2320026,43.0483186
"40",-76.159758,43.03944
"41",-76.1390347,43.0722866
"42",-76.1605113,43.0272027
"43",-76.1270732,43.0380337
"44",-76.2508916,43.1779748
"45",-75.9805764,43.0024912
"46",-75.9948431,42.9899711
"47",-76.114696,43.056985
"48",-76.12184,43.048021
"49",-76.1439214,42.9870752
"50",-76.1499706,43.0586175
"51",-76.1382161,43.0551665
"52",-76.1439921,43.0416281
"53",-76.138018,43.164491
"54",-75.9519003,43.0750596
"55",-76.0005277,43.0739504
"56",-76.1477303,43.0306568
"57",-76.1365802,43.0453513
"58",-76.119128,43.054827
"59",-76.1217467,43.1577256
"60",-76.1372881,43.173344
"61",-76.143652,43.168024
"62",-76.243839,43.188699
"63",-75.9820522,43.0038086
"64",-76.1457564,43.1020325
"65",-76.1465402,43.11286
"66",-76.170225,43.048405
"67",-76.1711738,43.0717962
"68",-76.123162,43.0740247
"69",-76.1456028,43.0261371
"70",-76.1753735,43.05349
"71",-76.1730958,43.0319335
"72",-76.1864318,43.0477803
"73",-76.1626068,43.0259561
"74",-76.3456599,43.1317616
"75",-76.2698469,43.0412211
"76",-76.1217467,43.1577256
"77",-76.0662849,43.037541
"78",-76.070734,43.0476697
"79",-76.0662849,43.037541
"80",-76.08716,43.074799
"81",-76.0534013,43.0314647
"82",-76.2226373,43.1857992
"83",-76.2190799,43.1292933
"84",-76.2223388,43.1340345
"85",-76.148433,43.059548
"86",-76.123162,43.0740247
"87",-76.169451,43.036591
"88",-76.1415271,43.0721665
"89",-76.1430018,43.0042216
"90",-76.186808,43.051923
"91",-76.1711738,43.0717962
"92",-76.148296,43.0524446
"93",-76.1937872,43.018238
"94",-76.1490388,43.0648913
"95",-76.1177752,43.0415834
"96",-76.157905,43.040871
"97",-76.1450808,43.0141244
"98",-76.1332673,43.0552275
"99",-76.2168329,43.1239859
"100",-76.1432995,43.0214089
"101",-76.1276758,43.0470091
"102",-76.1802662,43.0456388
"103",-76.1433729,43.065058
"104",-76.1504571,43.0231369
"105",-76.1532626,43.0168392
"106",-76.123338,43.069618
"107",-76.1321107,43.0469183
"108",-76.2778755,43.1162311
"109",-76.1204354,43.0385007
"110",-76.1623653,43.0265928
"111",-76.1268186,43.0143792
"112",-76.1217467,43.1577256
"113",-76.070734,43.0476697
"114",-76.0662849,43.037541
"115",-76.086451,43.024029
"116",-75.979321,43.0012025
"117",-76.1427581,43.1209443
"118",-76.1652683,43.0698547
"119",-76.237342,43.047669
"120",-76.1586598,43.0402395
"121",-76.123338,43.069618
"122",-76.1772985,43.0474136
"123",-76.1585569,43.0434306
"124",-76.1456028,43.0261371
"125",-76.079804,43.046137
"126",-76.104346,43.052007
"127",-76.1489648,43.0693676
"128",-76.1562621,43.0493465
"129",-76.070734,43.0476697
"130",-76.011907,43.048428
"131",-76.0534013,43.0314647
"132",-76.0173027,43.0361331
"133",-76.0534013,43.0314647
"134",-76.219206,43.140575
"135",-76.0262249,43.0067319
"136",-76.1294874,43.1448714
"137",-76.1594516,43.0247467
"138",-76.1448089,43.0618058
"139",-76.1588517,43.0257857
"140",-76.1222247,43.0585213
"141",-76.1471503,43.0238828
"142",-76.1805751,43.0298424
"143",-76.148433,43.059548
"144",-76.1272498,43.0685358
"145",-76.179796,43.0269314
"146",-76.142975,43.068622
"147",-76.176292,43.052196
"148",-76.1873099,43.0490062
"149",-76.1621236,43.0718014
"150",-76.2698469,43.0412211
"151",-76.1717149,43.1858275
"152",-76.0629925,43.0478627
"153",-76.0778056,43.0701835
"154",-76.3400978,42.9828583
"155",-76.16636,43.05239
"156",-76.1436564,43.0594932
"157",-76.153567,43.04796
"158",-76.14377,43.055819
"159",-76.1937884,43.0310854
"160",-76.148939,43.0521396
"161",-76.171449,43.0484213
"162",-76.2186576,43.0609731
"163",-76.1473603,43.0381318
"164",-76.1426994,43.0764842
"165",-76.1456028,43.0261371
"166",-76.1300813,43.0521227
"167",-76.1412173,43.0162074
"168",-76.1471093,43.1579267
"169",-76.1431048,43.0550099
"170",-76.1669113,43.0430349
"171",-76.1982341,43.057318
"172",-76.0952642,43.050951
"173",-75.9693778,43.1554673
"174",-76.2698469,43.0412211
"175",-76.1717149,43.1858275
"176",-76.0662849,43.037541
"177",-76.0662849,43.037541
"178",-76.070734,43.0476697
"179",-76.0185685,43.0335669
"180",-76.2982021,43.1803097
"181",-76.1457564,43.1020325
"182",-76.214821,43.067011
"183",-76.1711738,43.0717962
"184",-76.2005361,43.0471972
"185",-76.1711738,43.0717962
"186",-76.1711738,43.0717962
"187",-76.143005,43.008642
"188",-76.1613199,43.0777265
"189",-76.171449,43.0484213
"190",-76.1441285,43.0037727
"191",-76.145409,43.026948
"192",-76.1958538,43.0575606
"193",-76.1469414,43.059878
"194",-76.145309,43.052011
"195",-76.0723813,43.0842238
"196",-76.159758,43.03944
"197",-76.123338,43.069618
"198",-76.210558,43.055333
"199",-76.088818,43.046104
"200",-76.1855793,43.0465719
"201",-76.303687,43.126376
"202",-76.3945414,43.1578798
"203",-76.2698469,43.0412211
"204",-76.1217467,43.1577256
"205",-76.122644,43.1488599
"206",-76.1717149,43.1858275
"207",-76.0662849,43.037541
"208",-76.0696314,43.051536
"209",-76.219041,43.165035
"210",-76.2420618,43.1836704
"211",-76.1457564,43.1020325
"212",-76.158986,43.112577
"213",-76.1366385,43.0416327
"214",-76.1432189,43.1104506
"215",-76.246156,43.047766
"216",-76.1585569,43.0434306
"217",-76.0876042,43.0552469
"218",-76.1606684,43.0192434
"219",-76.119914,43.0438509
"220",-76.2005361,43.0471972
"221",-76.1508362,43.0470381
"222",-76.0978925,43.0410394
"223",-76.1400627,43.0411596
"224",-76.1589177,43.0353086
"225",-76.090658,43.054805
"226",-76.1036964,43.0533438
"227",-76.095189,43.045974
"228",-76.17756,43.0378
"229",-76.126743,43.034457
"230",-76.121787,43.0544667
"231",-76.1193339,43.0544663
"232",-76.1458953,43.0604592
"233",-76.1458953,43.0604592
"234",-76.2698469,43.0412211
"235",-76.122644,43.1488599
"236",-75.959119,42.9935415
"237",-76.1457564,43.1020325
"238",-76.132201,43.079389
"239",-76.119914,43.0438509
"240",-76.1711738,43.0717962
"241",-76.1036964,43.0533438
"242",-76.1711738,43.0717962
"243",-76.1725506,43.0403394
"244",-76.1639213,43.0693219
"245",-76.1491175,43.0769048
"246",-76.1711738,43.0717962
"247",-76.1738526,43.0520692
"248",-76.1365971,43.0441873
"249",-76.122612,43.069105
"250",-76.1480425,43.1036457
"251",-76.1652488,43.0698617
"252",-76.167415,43.0402368
"253",-76.1529791,42.9990656
"254",-76.1419296,43.0705278
"255",-76.1524546,43.0237764
"256",-76.1547966,43.0701585
"257",-76.1603921,43.0709167
"258",-76.0020042,43.0958817
"259",-76.1165899,43.0680265
"260",-76.1903905,43.0566446
"261",-76.196625,43.012253
"262",-76.2698469,43.0412211
"263",-76.2698469,43.0412211
"264",-76.1215338,43.1812211
"265",-76.0364747,43.0624312
"266",-76.0593019,43.0634483
"267",-76.0534013,43.0314647
"268",-76.228756,43.15893
"269",-76.217827,43.105901
"270",-76.1457564,43.1020325
"271",-76.1294874,43.1448714
"272",-76.148104,43.111809
"273",-76.1227973,43.0666766
"274",-76.1571027,43.0361553
"275",-76.159758,43.03944
"276",-76.1565757,43.0787238
"277",-76.124536,43.034064
"278",-76.124536,43.034064
"279",-76.1834672,43.0521143
"280",-76.1489648,43.0693676
"281",-76.129661,43.046717
"282",-76.1476802,43.0619713
"283",-76.1685253,43.0453398
"284",-76.1321829,43.0076813
"285",-76.1590085,43.0370998
"286",-76.1506065,43.0404215
"287",-76.1589177,43.0353086
"288",-76.1108039,42.7936313
"289",-76.1483141,43.013945
"290",-76.2430555,43.1660962
"291",-76.14495,43.100336
"292",-76.145802,43.0415038
"293",-76.1531509,43.002055
"294",-76.162251,43.047082
"295",-76.1448275,43.0403038
"296",-76.1607328,43.0461954
"297",-76.212707,43.1265435
"298",-76.1481424,43.0613482
"299",-76.150449,43.054067
"300",-76.1424423,43.155033
"301",-76.1424423,43.155033
"302",-76.097539,43.063863
"303",-76.1304941,43.0438737
"304",-76.119589,43.06416
"305",-75.9693778,43.1554673
"306",-76.2698469,43.0412211
"307",-76.1217467,43.1577256
"308",-76.0686563,43.1970034
"309",-76.1065332,43.187033
"310",-76.1241566,43.1525459
"311",-76.1065332,43.187033
"312",-76.1717149,43.1858275
"313",-76.0662849,43.037541
"314",-76.0648229,43.0611759
"315",-76.070945,43.074704
"316",-76.0534013,43.0314647
"317",-76.1687252,43.1252099
"318",-76.1394713,43.1299071
"319",-76.1421956,43.0107215
"320",-76.1036964,43.0533438
"321",-76.171449,43.0484213
"322",-76.1926458,43.0531486
"323",-76.143005,43.008642
"324",-76.123162,43.0740247
"325",-76.2435289,43.0458718
"326",-76.160177,43.06812
"327",-76.1455328,43.0374095
"328",-76.168471,43.0225409
"329",-76.1518633,43.061037
"330",-76.1345003,43.0592128
"331",-76.1421175,43.0508551
"332",-76.152726,43.062481
"333",-76.098725,43.062019
"334",-76.1573113,43.0636186
"335",-76.311741,43.1288674
"336",-76.311741,43.1288674
"337",-76.0822308,43.0456613
"338",-76.0662849,43.037541
"339",-76.0778056,43.0701835
"340",-76.0270599,43.0820748
"341",-76.243839,43.188699
"342",-75.954774,42.992341
"343",-76.1937884,43.0310854
"344",-76.1711738,43.0717962
"345",-76.1711738,43.0717962
"346",-76.2440553,43.094656
"347",-76.1937884,43.0310854
"348",-76.1662305,43.0499929
"349",-76.147564,43.058931
"350",-76.1295477,43.0806342
"351",-76.2302072,43.0486854
"352",-76.1444357,43.0281801
"353",-76.1746477,43.0639231
"354",-76.1802379,43.052503
"355",-76.141856,43.053008
"356",-76.1687252,43.1252099
"357",-76.159758,43.03944
"358",-76.1802379,43.052503
"359",-76.1330822,43.052521
"360",-76.1524266,43.0196878
"361",-76.1483129,43.0702055
"362",-76.1674829,43.038835
"363",-76.1531406,43.001752
"364",-76.1364361,43.0686344
"365",-76.151972,43.05957
"366",-76.3148796,43.1315158
"367",-76.1717149,43.1858275
"368",-76.073362,43.066488
"369",-76.143568,42.892542
"370",-76.2190799,43.1292933
"371",-76.1292275,43.1365049
"372",-76.1711738,43.0717962
"373",-76.1623618,43.0438161
"374",-76.1711738,43.0717962
"375",-76.2005361,43.0471972
"376",-76.1535665,43.0500309
"377",-76.143005,43.008642
"378",-76.1604418,43.0401575
"379",-76.143128,43.064102
"380",-76.1711738,43.0717962
"381",-76.1426052,43.0751732
"382",-76.142747,43.0004441
"383",-76.1325738,43.052126
"384",-76.1330822,43.052521
"385",-76.1401003,43.0722439
"386",-76.1481271,43.0645308
"387",-76.0593019,43.0634483
"388",-76.336026,43.164482
"389",-76.3109075,43.1376884
"390",-76.340273,43.174855
"391",-76.1241566,43.1525459
"392",-76.1127699,43.1641051
"393",-76.0696314,43.051536
"394",-76.0185685,43.0335669
"395",-76.0534013,43.0314647
"396",-76.2226373,43.1857992
"397",-76.1351196,43.1324237
"398",-76.1711738,43.0717962
"399",-76.1711738,43.0717962
"400",-76.1419688,43.0698073
"401",-76.1711738,43.0717962
"402",-76.1556839,43.024232
"403",-76.1660874,43.0303993
"404",-76.1413729,43.0621105
"405",-76.2163556,43.1294379
"406",-76.1418681,43.0713104
"407",-76.133092,43.052405
"408",-76.3327075,43.1586729
"409",-76.151972,43.05957
"410",-76.1056236,43.0736944
"411",-76.3347198,43.0367121
"412",-76.1141105,43.1756913
"413",-76.070734,43.0476697
"414",-76.0270599,43.0820748
"415",-76.2563328,43.178268
"416",-76.1386097,43.0572146
"417",-76.1586598,43.0402395
"418",-76.157435,43.0670379
"419",-76.1108383,43.0789963
"420",-76.1417649,43.0133626
"421",-76.1643892,43.0414857
"422",-76.1366385,43.0416327
"423",-76.126664,43.036179
"424",-76.1515405,43.0427387
"425",-76.1390347,43.0722866
"426",-76.176499,43.051457
"427",-76.140891,43.0597013
"428",-76.1086571,43.0687107
"429",-76.308141,43.132629
"430",-76.2698469,43.0412211
"431",-76.1141105,43.1756913
"432",-76.1717149,43.1858275
"433",-76.0593019,43.0634483
"434",-76.2226373,43.1857992
"435",-76.217365,43.130023
"436",-76.1529139,43.0964185
"437",-76.1133047,43.0477842
"438",-76.1228858,43.0431451
"439",-76.130966,43.0451089
"440",-76.1788627,43.0078462
"441",-76.1711738,43.0717962
"442",-76.1711738,43.0717962
"443",-76.164053,43.043165
"444",-76.156715,43.065289
"445",-76.1519972,43.0339016
"446",-76.164587,43.166139
"447",-76.1415577,42.9761473
"448",-76.3546271,43.2253186
"449",-76.221489,43.058834
"450",-76.12293,43.036322
"451",-76.2698469,43.0412211
"452",-76.1217467,43.1577256
"453",-76.1217467,43.1577256
"454",-76.1241566,43.1525459
"455",-76.122644,43.1488599
"456",-76.122644,43.1488599
"457",-76.0648229,43.0611759
"458",-76.0078817,43.0179574
"459",-76.243839,43.188699
"460",-76.1711738,43.0717962
"461",-76.1300813,43.0521227
"462",-76.1937872,43.018238
"463",-76.16042,43.0424283
"464",-76.1711738,43.0717962
"465",-76.1711738,43.0717962
"466",-76.1711738,43.0717962
"467",-76.162643,43.0733352
"468",-76.0767561,43.0359302
"469",-76.1378457,43.0426834
"470",-76.1231658,43.0365822
"471",-76.134393,43.077034
"472",-76.1711738,43.0717962
"473",-76.17234,43.057531
"474",-76.11874,43.057725
"475",-76.11874,43.057725
"476",-76.1624736,43.0708719
"477",-76.174292,43.0493193
"478",-76.2506983,43.1685522
"479",-76.1555338,43.0008165
"480",-76.1433424,43.0259008
"481",-76.1350676,43.0133005
"482",-76.1441066,43.0274899
"483",-76.2698469,43.0412211
"484",-76.122644,43.1488599
"485",-76.0778056,43.0701835
"486",-76.1197177,42.9905081
"487",-76.47767,43.065392
"488",-76.243839,43.188699
"489",-76.1726197,43.1312764
"490",-76.1726197,43.1312764
"491",-76.2921459,42.9824245
"492",-76.008073,43.078073
"493",-76.1448876,43.1158879
"494",-76.1591741,43.03926
"495",-76.128667,43.067303
"496",-76.2063818,43.102871
"497",-76.1199059,43.0482849
"498",-76.1937884,43.0310854
"499",-76.1756905,43.0212914
"500",-76.148209,43.043527
"501",-76.1711738,43.0717962
"502",-76.123162,43.0740247
"503",-76.1711738,43.0717962
"504",-76.1900472,43.0528788
"505",-76.1175886,43.0355546
"506",-76.1430929,43.066536
"507",-76.1449591,43.0616991
"508",-76.1430913,43.0404171
"509",-76.1300813,43.0521227
"510",-76.2027451,43.0241497
"511",-76.1699659,43.0341164
"512",-76.1415114,43.0603135
"513",-76.1532479,43.0236103
"514",-76.1458208,43.0604477
"515",-76.151972,43.05957
"516",-76.182742,43.049462
"517",-76.151972,43.05957
"518",-76.1669113,43.0430349
"519",-76.3121069,43.0441141
"520",-76.0396144,43.1890941
"521",-76.080757,43.052347
"522",-76.083204,43.052727
"523",-76.1284575,43.0393611
"524",-76.1668146,43.0485779
"525",-76.1344938,43.0788435
"526",-76.205239,43.054545
"527",-76.1936519,43.0545934
"528",-76.27547,43.156664
"529",-76.1675978,43.1730044
"530",-76.1675978,43.1730044
"531",-76.2420618,43.1836704
"532",-75.9695632,43.0002357
"533",-76.1806615,43.0590084
"534",-76.2793889,43.1170426
"535",-76.158756,43.012956
"536",-76.1534849,43.0524017
"537",-76.1897611,43.0542484
"538",-76.2005361,43.0471972
"539",-76.1711738,43.0717962
"540",-76.1970856,43.048567
"541",-76.123162,43.0740247
"542",-76.1288936,43.0441287
"543",-76.1172818,43.0319205
"544",-76.1231658,43.0365822
"545",-76.135256,43.025856
"546",-76.148209,43.043527
"547",-76.148939,43.0521396
"548",-76.1507568,43.0505273
"549",-76.151919,43.062945
"550",-76.146313,43.019418
"551",-76.1215094,43.0492733
"552",-76.1400627,43.0411596
"553",-76.112653,43.0481621
"554",-76.157435,43.0670379
"555",-76.1468372,43.0231059
"556",-76.137395,43.02532
"557",-76.1165405,43.1647847
"558",-76.191062,43.093858
"559",-76.1432905,43.0282599
"560",-76.1610253,43.0180379
"561",NA,NA
"562",-76.1717149,43.1858275
"563",-76.070734,43.0476697
"564",-76.0593019,43.0634483
"565",-76.0511735,43.0631117
"566",-76.0712804,43.0641933
"567",-76.0185685,43.0335669
"568",-76.0185685,43.0335669
"569",-76.1815498,43.1227802
"570",-76.2190799,43.1292933
"571",-76.243839,43.188699
"572",-76.1001809,43.1395728
"573",-76.1387868,43.0607329
"574",-76.1422564,43.0442133
"575",-76.1711738,43.0717962
"576",-76.1711738,43.0717962
"577",-76.1415271,43.0721665
"578",-76.106057,43.068607
"579",-76.1311029,42.9978871
"580",-76.160752,43.04351
"581",-76.1711738,43.0717962
"582",-76.1160549,43.0319949
"583",-76.119914,43.0438509
"584",-76.1711738,43.0717962
"585",-76.157085,43.033765
"586",-76.1745297,43.0444503
"587",-76.111934,43.048085
"588",-76.1483141,43.013945
"589",-76.275337,43.0400907
"590",-76.1935611,43.1000207
"591",-76.1429751,43.0206647
"592",-76.1893157,43.0368062
"593",-76.3171462,43.156199
"594",-76.1217467,43.1577256
"595",-76.1217467,43.1577256
"596",-76.0662849,43.037541
"597",-76.0183642,43.0358834
"598",-76.1427581,43.1209443
"599",-76.1086571,43.0687107
"600",-76.1556167,43.022951
"601",-76.1237992,43.0301534
"602",-76.1711738,43.0717962
"603",-76.1937884,43.0310854
"604",-76.1505587,43.0820465
"605",-76.17534,43.064169
"606",-76.1643661,43.0354308
"607",-76.1555803,43.0474891
"608",-76.1556167,43.022951
"609",-76.1491761,43.0738849
"610",-76.1514776,43.0440366
"611",-76.1517794,43.0494273
"612",-76.1980484,43.0583657
"613",-76.1969403,43.0483341
"614",-76.1458664,43.1042091
"615",-76.1481206,43.0490165
"616",-76.1420238,43.0533771
"617",-76.1403978,43.0563387
"618",-76.1391318,43.053304
"619",-76.1590372,43.0142881
"620",-76.1979215,43.0569129
"621",-76.1845875,43.0176358
"622",-76.247356,43.099409
"623",-76.09756,43.059753
"624",-76.1626068,43.0259561
"625",-76.179796,43.0269314
"626",-76.1565908,43.0272562
"627",-76.1046772,43.0617118
"628",-76.309589,43.13331
"629",-76.2913729,43.196806
"630",-76.2614196,43.0415992
"631",-76.1256375,43.149556
"632",-76.206333,43.1369487
"633",-76.2226373,43.1857992
"634",-76.1744435,43.1213378
"635",-76.0015983,42.993455
"636",-76.4305227,42.9499082
"637",-76.126156,43.048988
"638",-76.1711738,43.0717962
"639",-76.229001,43.044246
"640",-76.102452,43.135219
"641",-76.110303,43.069604
"642",-76.1711738,43.0717962
"643",-76.1968312,43.0310572
"644",-76.1122149,43.0448541
"645",-76.1306731,42.9949537
"646",-76.1668146,43.0485779
"647",-76.1937884,43.0310854
"648",-76.1276769,43.0483661
"649",-76.124536,43.034064
"650",-76.1700737,43.0330361
"651",-76.1480425,43.1036457
"652",-76.132682,43.1261269
"653",-76.0767337,43.0666971
"654",-76.226751,43.143753
"655",-76.213652,43.129541
"656",-76.213652,43.129541
"657",-76.213652,43.129541
"658",-76.213652,43.129541
"659",-76.1711142,43.0257057
"660",-76.1660874,43.0303993
"661",-76.2448307,43.1001937
"662",-76.1245289,43.0599483
"663",-76.2698469,43.0412211
"664",-76.2698469,43.0412211
"665",-76.070734,43.0476697
"666",-76.0065753,43.0296219
"667",-76.2223388,43.1340345
"668",-76.1457564,43.1020325
"669",-76.1968312,43.0310572
"670",-76.2005361,43.0471972
"671",-76.1711738,43.0717962
"672",-76.163815,43.054155
"673",-76.1306731,42.9949537
"674",-76.1311029,42.9978871
"675",-76.1603884,43.0534138
"676",-76.1469414,43.059878
"677",-76.2241729,43.0797509
"678",-76.165662,43.037907
"679",-76.129661,43.046717
"680",-76.1442071,43.0448603
"681",-76.124536,43.034064
"682",-76.124536,43.034064
"683",-76.124585,43.0387477
"684",NA,NA
"685",-76.1939379,43.0477108
"686",-76.1711738,43.0717962
"687",-76.1448305,43.0403601
"688",-76.170126,43.025264
"689",-76.145988,43.069521
"690",-76.196129,43.058918
"691",-76.175437,43.079969
"692",-76.1455487,43.0522889
"693",-76.1563174,43.009096
"694",-76.1606684,43.0192434
"695",-76.2698469,43.0412211
"696",-76.111402,43.181494
"697",-76.1717149,43.1858275
"698",-76.070734,43.0476697
"699",-76.0870318,43.0523812
"700",-76.0721935,43.0222656
"701",-76.0183642,43.0358834
"702",-76.2226373,43.1857992
"703",-76.1489648,43.0693676
"704",-76.146229,43.0350706
"705",-76.1711738,43.0717962
"706",-76.1711738,43.0717962
"707",-76.143005,43.008642
"708",-76.237342,43.047669
"709",-76.143005,43.008642
"710",-76.2005361,43.0471972
"711",-76.1119499,43.038018
"712",-76.163602,43.058073
"713",-76.1292275,43.1365049
"714",-76.185068,43.044281
"715",-76.117045,43.051829
"716",-76.147142,43.098012
"717",-76.145409,43.026948
"718",-76.302137,43.1281514
"719",-76.302137,43.1281514
"720",-76.3031769,43.1288985
"721",-76.3024159,43.1332799
"722",-76.1627703,43.0207147
"723",-76.1550687,43.062967
"724",-76.16051,43.050605
"725",-76.135497,43.054941
"726",-76.337598,43.14406
"727",-76.08448,43.195482
"728",-76.070734,43.0476697
"729",-76.150481,43.049747
"730",-76.1364281,43.1045068
"731",-76.139482,43.1254599
"732",-76.1227973,43.0666766
"733",-76.1352245,43.0670761
"734",-76.123162,43.0740247
"735",-76.1088221,43.0686751
"736",-76.1953652,43.0395845
"737",-76.1592949,43.0218041
"738",-76.214821,43.067011
"739",-76.1711738,43.0717962
"740",-76.154039,43.046511
"741",-76.1489648,43.0693676
"742",-76.1074787,43.068738
"743",-76.1300404,43.0388057
"744",-76.104753,43.042024
"745",-76.1585569,43.0434306
"746",-76.1711738,43.0717962
"747",-76.1429084,43.0206733
"748",-76.1587982,43.0676364
"749",-76.1391079,43.0522031
"750",-76.1884058,43.0312528
"751",-76.1968312,43.0310572
"752",-76.1932937,43.0290993
"753",-76.1535817,43.0486924
"754",-76.1300404,43.0388057
"755",-76.1300404,43.0388057
"756",-76.1267437,43.1234529
"757",-76.122056,43.061342
"758",-76.1492994,43.0200241
